verb,agency,power
abandons,agency_pos,power_agent
abolishes,agency_pos,power_agent
absorbs,agency_pos,power_agent
abuses,agency_pos,power_agent
accelerates,agency_pos,power_agent
accepts,agency_neg,power_agent
accesses,agency_equal,power_agent
accommodates,agency_pos,power_equal
accompanies,agency_equal,power_theme
accomplishes,agency_pos,power_equal
accords,agency_pos,power_agent
accounts,agency_equal,power_agent
accumulates,agency_equal,power_agent
accuses,agency_pos,power_agent
aches,agency_neg,
achieves,agency_pos,power_theme
acknowledges,agency_neg,power_agent
acquaints,agency_pos,power_agent
acquires,agency_pos,power_agent
acquits,agency_pos,power_agent
activates,agency_pos,power_agent
acts,agency_pos,
adapts,agency_pos,power_agent
addresses,agency_neg,power_equal
adds,agency_pos,power_agent
adjoins,agency_pos,power_agent
adjusts,agency_pos,power_agent
administers,agency_pos,power_agent
admires,agency_equal,power_theme
admits,agency_pos,power_theme
adopts,agency_pos,power_agent
adores,agency_equal,power_theme
adorns,agency_pos,power_theme
advances,agency_pos,power_agent
advertises,agency_equal,power_agent
advises,agency_pos,power_agent
advocates,agency_pos,power_equal
affects,agency_pos,power_agent
affirms,agency_pos,power_agent
affixes,agency_pos,power_agent
affords,agency_equal,power_agent
ages,agency_neg,
aggravates,agency_pos,power_theme
agonizes,agency_neg,
agonizes over,agency_equal,power_theme
agrees,agency_equal,
agrees on,agency_pos,power_equal
aids,agency_pos,power_agent
aims,agency_pos,power_equal
alarms,agency_pos,power_agent
alerts,agency_pos,power_agent
alleges,agency_pos,power_agent
allows,agency_pos,power_agent
alters,agency_pos,power_agent
ambles,agency_pos,
amends,agency_pos,power_agent
amuses,agency_pos,power_theme
analyzes,agency_neg,power_equal
anchors,agency_pos,power_agent
angers,agency_equal,power_equal
angles,agency_equal,
animates,agency_equal,power_equal
announces,agency_pos,power_theme
annoys,agency_pos,power_agent
answers,agency_equal,power_theme
anticipates,agency_pos,power_equal
apologizes,agency_pos,power_theme
apologizes to,agency_pos,power_theme
appals,agency_equal,power_agent
appeals,agency_neg,power_theme
appeals to,agency_pos,power_theme
appears,agency_pos,
applauds,agency_pos,power_theme
applies,agency_pos,power_agent
applies to,agency_neg,power_equal
appoints,agency_pos,power_agent
appraises,agency_pos,power_agent
appreciates,agency_neg,power_equal
approaches,agency_pos,power_equal
approves,agency_pos,power_agent
arches,agency_pos,power_agent
arcs,agency_pos,power_agent
argues,agency_pos,power_equal
arises,agency_pos,
arms,agency_pos,power_agent
arouses,agency_pos,power_agent
arranges,agency_pos,power_agent
arrests,agency_pos,power_agent
arrives,agency_equal,
ascends,agency_pos,power_theme
asks,agency_pos,power_theme
assails,agency_pos,power_agent
assaults,agency_pos,power_agent
assembles,agency_pos,power_equal
asserts,agency_pos,power_agent
assesses,agency_pos,power_equal
assigns,agency_pos,power_agent
assists,agency_pos,power_theme
associates,agency_pos,power_equal
assumes,agency_neg,power_agent
assures,agency_pos,power_agent
astonishes,agency_pos,power_agent
attaches,agency_pos,power_agent
attaches to,agency_pos,power_agent
attacks,agency_pos,power_agent
attempts,agency_pos,power_equal
attends,agency_equal,power_theme
attracts,agency_equal,power_equal
attributes,agency_neg,power_agent
authorizes,agency_pos,power_agent
averts,agency_pos,power_agent
avoids,agency_pos,power_agent
awaits,agency_neg,power_theme
awakens,agency_pos,power_agent
awakes,agency_pos,
awards,agency_pos,power_agent
babbles,agency_pos,power_equal
backhands,agency_pos,power_agent
backs,agency_pos,power_equal
baffles,agency_pos,power_agent
bags,agency_pos,power_agent
bails,agency_pos,power_agent
bakes,agency_pos,power_agent
balances,agency_pos,power_equal
balds,agency_neg,
balls,agency_pos,power_agent
bandages,agency_pos,power_agent
bangs,agency_pos,power_agent
banks,agency_pos,
bans,agency_pos,power_agent
barks,agency_equal,power_equal
barrels,agency_pos,power_agent
bars,agency_pos,power_agent
bases,agency_pos,power_equal
bashes,agency_pos,power_agent
baths,agency_pos,power_agent
bats,agency_pos,power_agent
batters,agency_pos,power_agent
battles,agency_pos,power_agent
bawls,agency_equal,
beams,agency_pos,
bears,agency_pos,power_equal
beats,agency_pos,power_agent
beckons,agency_pos,power_agent
becomes,agency_pos,power_theme
beeps,agency_pos,power_equal
begins,agency_pos,power_equal
begs,agency_pos,power_theme
behaves,agency_equal,
beholds,agency_equal,power_theme
belches,agency_pos,
believes,agency_neg,power_theme
bellows,agency_pos,power_agent
belongs to,agency_neg,power_theme
belts,agency_pos,power_agent
bends,agency_pos,power_agent
benefits,agency_neg,power_theme
besieges,agency_pos,power_agent
betrays,agency_pos,power_agent
bets,agency_pos,power_equal
betters,agency_pos,power_agent
bewilders,agency_equal,power_agent
bids,agency_equal,power_agent
billows,agency_pos,
binds,agency_pos,power_agent
bites,agency_pos,power_agent
blackens,agency_pos,power_agent
blackmails,agency_pos,power_agent
blames,agency_pos,power_agent
blanches,agency_pos,
blares,agency_equal,power_equal
blasts,agency_pos,power_agent
blazes,agency_equal,
bleaches,agency_pos,power_agent
bleeds,agency_neg,
blends,agency_pos,power_agent
blesses,agency_pos,power_equal
blinds,agency_pos,power_agent
blinks,agency_equal,
blocks,agency_pos,power_agent
bloodies,agency_pos,power_agent
blots,agency_pos,power_agent
blows,agency_pos,
blurs,agency_pos,power_agent
blurts,agency_pos,power_equal
blushes,agency_neg,
boards,agency_pos,power_agent
boasts,agency_pos,power_agent
bobs,agency_equal,
boils,agency_pos,power_agent
bolts,agency_pos,
bombs,agency_pos,power_agent
bones,agency_pos,power_agent
books,agency_pos,power_equal
booms,agency_pos,
boosts,agency_pos,power_agent
boots,agency_pos,power_agent
borders,agency_neg,power_equal
bores,agency_equal,power_equal
borrows,agency_pos,power_agent
bothers,agency_pos,power_equal
bounces,agency_pos,
bounds,agency_pos,power_agent
bowls,agency_pos,
bows,agency_pos,
bows to,agency_neg,power_theme
boxes,agency_pos,power_agent
braces,agency_pos,power_agent
brakes,agency_pos,
brandishes,agency_pos,power_equal
breaks,agency_pos,power_agent
breathes,agency_neg,
breeds,agency_pos,power_agent
briefs,agency_equal,power_theme
brightens,agency_pos,power_agent
brims,agency_pos,
brings,agency_pos,power_agent
bristles,agency_equal,
broadcasts,agency_pos,power_agent
broadens,agency_pos,power_equal
broods,agency_neg,
browses,agency_pos,power_theme
bruises,agency_pos,power_agent
brushes,agency_pos,power_theme
bubbles,agency_pos,
buckles up,agency_pos,power_agent
bucks,agency_pos,power_agent
budges,agency_pos,
buffets,agency_pos,power_agent
bugs,agency_pos,power_equal
builds,agency_pos,power_agent
bulges,agency_neg,
bumps,agency_pos,power_agent
bundles,agency_pos,power_equal
buries,agency_pos,power_agent
burns,agency_pos,power_agent
burrows,agency_pos,
bursts,agency_pos,power_agent
bustles,agency_pos,
busts,agency_pos,power_agent
buttons,agency_equal,power_agent
buys,agency_pos,power_agent
buzzes,agency_pos,
cages,agency_pos,power_agent
cakes,agency_pos,
calculates,agency_pos,power_equal
calls,agency_pos,power_theme
calms,agency_pos,power_equal
camps,agency_pos,
cancels,agency_pos,power_agent
caps,agency_pos,power_agent
captures,agency_pos,power_agent
careens,agency_pos,
cares,agency_pos,power_equal
caresses,agency_pos,power_equal
carries,agency_pos,power_agent
carves,agency_pos,power_agent
cascades,agency_pos,
cashes,agency_pos,power_agent
casts,agency_pos,power_agent
catches,agency_pos,power_agent
causes,agency_pos,power_agent
cautions,agency_equal,power_agent
caves,agency_neg,
ceases,agency_neg,power_agent
celebrates,agency_pos,power_theme
centers,agency_pos,power_agent
centers on,agency_pos,power_equal
chains,agency_pos,power_agent
chalks,agency_pos,power_agent
challenges,agency_pos,power_agent
changes,agency_pos,power_agent
chants,agency_pos,power_theme
characterizes,agency_equal,power_agent
charges,agency_pos,power_agent
charms,agency_pos,power_agent
chars,agency_pos,power_agent
chases,agency_pos,power_theme
chats,agency_pos,
chatters,agency_pos,
cheats,agency_pos,power_agent
checks,agency_equal,power_agent
cheers,agency_pos,power_theme
chews,agency_pos,power_agent
chills,agency_equal,power_agent
chimes,agency_neg,
chips,agency_pos,power_agent
chirps,agency_equal,
chokes,agency_pos,power_agent
chokes on,agency_neg,power_theme
chooses,agency_pos,power_agent
chops,agency_pos,power_agent
chuckles,agency_pos,
chucks,agency_pos,power_agent
chugs,agency_pos,power_agent
churns,agency_pos,power_equal
circles,agency_pos,power_agent
circulates,agency_pos,power_agent
cites,agency_pos,power_theme
claims,agency_pos,power_agent
clambers,agency_pos,
clamps,agency_pos,power_agent
claps,agency_pos,power_equal
clarifies,agency_pos,power_equal
clasps,agency_pos,power_agent
classifies,agency_pos,power_agent
clatters,agency_pos,
claws,agency_pos,power_agent
cleans,agency_pos,power_agent
cleanses,agency_pos,power_agent
clears,agency_pos,power_agent
clenches,agency_pos,power_agent
clicks,agency_pos,power_agent
climbs,agency_pos,power_equal
clings to,agency_pos,power_theme
clinks,agency_equal,
clips,agency_pos,power_agent
cloaks,agency_equal,power_agent
clocks,agency_neg,power_agent
clogs,agency_pos,power_agent
closes,agency_pos,power_agent
clothes,agency_pos,power_agent
clouds,agency_pos,power_agent
clusters,agency_pos,power_agent
clutches,agency_pos,power_equal
clutters,agency_pos,power_agent
coats,agency_pos,power_agent
